,Date,AQI,Sample_Duration,Pollutant_Type
131,2017-06-01,20,24-HR BLK AVG,81102
132,2017-06-02,24,24-HR BLK AVG,81102
133,2017-06-03,18,24-HR BLK AVG,81102
134,2017-06-04,18,24-HR BLK AVG,81102
135,2017-06-05,15,24-HR BLK AVG,81102
136,2017-06-06,12,24-HR BLK AVG,81102
137,2017-06-07,16,24-HR BLK AVG,81102
138,2017-06-08,16,24-HR BLK AVG,81102
139,2017-06-09,25,24-HR BLK AVG,81102
140,2017-06-10,7,24-HR BLK AVG,81102
141,2017-06-11,7,24-HR BLK AVG,81102
142,2017-06-12,12,24-HR BLK AVG,81102
143,2017-06-13,8,24-HR BLK AVG,81102
144,2017-06-14,7,24-HR BLK AVG,81102
145,2017-06-15,9,24-HR BLK AVG,81102
146,2017-06-16,7,24-HR BLK AVG,81102
147,2017-06-17,6,24-HR BLK AVG,81102
148,2017-06-18,7,24-HR BLK AVG,81102
149,2017-06-19,19,24-HR BLK AVG,81102
150,2017-06-20,7,24-HR BLK AVG,81102
151,2017-06-21,11,24-HR BLK AVG,81102
152,2017-06-22,11,24-HR BLK AVG,81102
153,2017-06-23,6,24-HR BLK AVG,81102
154,2017-06-24,6,24-HR BLK AVG,81102
155,2017-06-25,6,24-HR BLK AVG,81102
156,2017-06-26,11,24-HR BLK AVG,81102
157,2017-06-27,20,24-HR BLK AVG,81102
158,2017-06-28,19,24-HR BLK AVG,81102
159,2017-06-29,13,24-HR BLK AVG,81102
160,2017-06-30,8,24-HR BLK AVG,81102
161,2017-07-01,11,24-HR BLK AVG,81102
162,2017-07-02,7,24-HR BLK AVG,81102
163,2017-07-03,14,24-HR BLK AVG,81102
164,2017-07-04,16,24-HR BLK AVG,81102
165,2017-07-05,16,24-HR BLK AVG,81102
166,2017-07-06,17,24-HR BLK AVG,81102
167,2017-07-07,16,24-HR BLK AVG,81102
168,2017-07-08,19,24-HR BLK AVG,81102
169,2017-07-09,12,24-HR BLK AVG,81102
170,2017-07-10,17,24-HR BLK AVG,81102
171,2017-07-11,19,24-HR BLK AVG,81102
172,2017-07-12,5,24-HR BLK AVG,81102
173,2017-07-13,6,24-HR BLK AVG,81102
174,2017-07-14,20,24-HR BLK AVG,81102
