,Date,AQI,Sample_Duration,Pollutant_Type
132,2010-01-09,1,1 HOUR,42401
133,2010-01-09,1,1 HOUR,42401
134,2010-01-10,3,1 HOUR,42401
135,2010-01-10,3,1 HOUR,42401
136,2010-01-11,1,1 HOUR,42401
137,2010-01-11,1,1 HOUR,42401
138,2010-01-12,1,1 HOUR,42401
139,2010-01-12,1,1 HOUR,42401
140,2010-01-13,3,1 HOUR,42401
141,2010-01-13,3,1 HOUR,42401
142,2010-01-14,1,1 HOUR,42401
143,2010-01-14,1,1 HOUR,42401
144,2010-01-15,0,1 HOUR,42401
145,2010-01-15,0,1 HOUR,42401
146,2010-01-16,3,1 HOUR,42401
147,2010-01-16,3,1 HOUR,42401
148,2010-01-17,3,1 HOUR,42401
149,2010-01-17,3,1 HOUR,42401
150,2010-01-18,23,1 HOUR,42401
151,2010-01-18,23,1 HOUR,42401
152,2010-01-19,19,1 HOUR,42401
153,2010-01-19,19,1 HOUR,42401
154,2010-01-20,4,1 HOUR,42401
155,2010-01-20,4,1 HOUR,42401
156,2010-01-21,4,1 HOUR,42401
157,2010-01-21,4,1 HOUR,42401
158,2010-01-22,3,1 HOUR,42401
159,2010-01-22,3,1 HOUR,42401
160,2010-01-23,1,1 HOUR,42401
161,2010-01-23,1,1 HOUR,42401
162,2010-01-24,20,1 HOUR,42401
163,2010-01-24,20,1 HOUR,42401
164,2010-01-25,17,1 HOUR,42401
165,2010-01-25,17,1 HOUR,42401
166,2010-01-26,36,1 HOUR,42401
167,2010-01-26,36,1 HOUR,42401
168,2010-01-27,7,1 HOUR,42401
169,2010-01-27,7,1 HOUR,42401
170,2010-01-28,4,1 HOUR,42401
171,2010-01-28,4,1 HOUR,42401
172,2010-01-29,17,1 HOUR,42401
173,2010-01-29,17,1 HOUR,42401
174,2010-01-30,27,1 HOUR,42401
175,2010-01-30,27,1 HOUR,42401
176,2010-01-31,19,1 HOUR,42401
177,2010-01-31,19,1 HOUR,42401
178,2010-02-01,4,1 HOUR,42401
179,2010-02-01,4,1 HOUR,42401
180,2010-02-02,6,1 HOUR,42401
181,2010-02-02,6,1 HOUR,42401
182,2010-02-03,6,1 HOUR,42401
183,2010-02-03,6,1 HOUR,42401
184,2010-02-04,4,1 HOUR,42401
185,2010-02-04,4,1 HOUR,42401
186,2010-02-05,0,1 HOUR,42401
187,2010-02-05,0,1 HOUR,42401
188,2010-02-06,0,1 HOUR,42401
189,2010-02-06,0,1 HOUR,42401
190,2010-02-07,3,1 HOUR,42401
191,2010-02-07,3,1 HOUR,42401
192,2010-02-08,3,1 HOUR,42401
193,2010-02-08,3,1 HOUR,42401
194,2010-02-09,0,1 HOUR,42401
195,2010-02-09,0,1 HOUR,42401
196,2010-02-10,0,1 HOUR,42401
197,2010-02-10,0,1 HOUR,42401
198,2010-02-11,0,1 HOUR,42401
199,2010-02-11,0,1 HOUR,42401
200,2010-02-12,10,1 HOUR,42401
201,2010-02-12,10,1 HOUR,42401
202,2010-02-13,11,1 HOUR,42401
203,2010-02-13,11,1 HOUR,42401
204,2010-02-14,19,1 HOUR,42401
205,2010-02-14,19,1 HOUR,42401
206,2010-02-15,14,1 HOUR,42401
207,2010-02-15,14,1 HOUR,42401
208,2010-02-16,4,1 HOUR,42401
209,2010-02-16,4,1 HOUR,42401
210,2010-02-17,41,1 HOUR,42401
211,2010-02-17,41,1 HOUR,42401
212,2010-02-18,7,1 HOUR,42401
213,2010-02-18,7,1 HOUR,42401
214,2010-02-19,7,1 HOUR,42401
215,2010-02-19,7,1 HOUR,42401
216,2010-02-20,16,1 HOUR,42401
217,2010-02-20,16,1 HOUR,42401
218,2010-02-21,4,1 HOUR,42401
219,2010-02-21,4,1 HOUR,42401
220,2010-02-22,20,1 HOUR,42401
221,2010-02-22,20,1 HOUR,42401
