,Year,AQI
0,1986,6.0
1,1987,21.178571428571427
2,2009,6.931034482758621
3,2010,8.533333333333333
4,2017,20.377474120082823
5,2018,23.011545988258334
6,2019,18.588506196999322
7,2020,20.922170179547223
8,2021,31.59596359319351
9,2022,25.340720221606638
10,2023,40.62647828362114
